ID;Tipo;Mese;Settimana;Hook/Titolo;Stato;File
R001;Reel;1;1;Il tuo sito potrebbe essere di chiunque;Pronto;archivio-reels.md
R002;Reel;1;1;Stai ancora aspettando di essere pronto;Pronto;archivio-reels.md
R003;Reel;1;1;Se perdi follower stai facendo la cosa giusta;Pronto;archivio-reels.md
R004;Reel;1;1;Quanti clienti ti servono al mese;Pronto;archivio-reels.md
R005;Reel;1;1;L'intelligenza artificiale ti rivela;Pronto;archivio-reels.md
R006;Reel;1;1;Parla dalle cicatrici;Pronto;archivio-reels.md
R007;Reel;1;1;Il contenuto che hai cancellato era quello giusto;Pronto;archivio-reels.md
R008;Reel;1;2;Promuoverti ti sembra sporco;Pronto;archivio-reels.md
R009;Reel;1;2;La mia verita ha rovinato i tuoi contenuti;Pronto;archivio-reels.md
R010;Reel;1;2;La nicchia si rivela da sola;Pronto;archivio-reels.md
R011;Reel;1;2;Il tuo branding sembra quello di un venditore di corsi;Pronto;archivio-reels.md
R012;Reel;1;2;Olistico vuol dire intero internet compreso;Pronto;archivio-reels.md
R013;Reel;1;2;Fidati tu non vuoi piu clienti;Pronto;archivio-reels.md
R014;Reel;1;2;Se provi a sembrare autentico hai gia smesso di esserlo;Pronto;archivio-reels.md
R015;Reel;1;3;Il tuo contenuto gratuito e mini;Pronto;archivio-reels.md
R016;Reel;1;3;Le frasi fatte ti rendono invisibile;Pronto;archivio-reels.md
R017;Reel;1;3;Nessuno legge i tuoi contenuti ecco perche;Pronto;archivio-reels.md
R018;Reel;1;3;Scrivi per una sola persona;Pronto;archivio-reels.md
R019;Reel;1;3;Hai davvero bisogno di quella certificazione;Pronto;archivio-reels.md
R020;Reel;1;3;Pubblicare senza pubblico e la mossa piu intelligente;Pronto;archivio-reels.md
R021;Reel;1;3;L'originalita ti sta bloccando;Pronto;archivio-reels.md
R022;Reel;1;4;Le cose che ti infastidiscono sono i tuoi contenuti migliori;Pronto;archivio-reels.md
R023;Reel;1;4;I contenuti vengono prima del sito;Pronto;archivio-reels.md
R024;Reel;1;4;Pensiero dal lavoro con un cliente questa settimana;Pronto;archivio-reels.md
R025;Reel;1;4;Fatti querelare;Pronto;archivio-reels.md
R026;Reel;1;4;Come creo contenuti con l'AI senza perdere la mia voce;Pronto;archivio-reels.md
R027;Reel;1;4;Smetti di fare leva sul dolore per vendere;Pronto;archivio-reels.md
R028;Reel;1;4;Non hai bisogno di migliorarti per iniziare;Pronto;archivio-reels.md
R029;Reel;1;5;I tuoi video autentici non hanno bisogno di uno script;Pronto;archivio-reels.md
R030;Reel;1;5;La tua comunicazione rivela i tuoi veri problemi;Pronto;archivio-reels.md
R031;Reel;2;5;Il tuo cavallo di battaglia e davanti ai tuoi occhi;Pronto;archivio-reels.md
R032;Reel;2;5;Hai scritto duecento post nessuno ti ha contattato;Pronto;archivio-reels.md
R033;Reel;2;5;Fare marketing ti sembra sporco gia lo fai;Pronto;archivio-reels.md
R034;Reel;2;5;Le piattaforme cambiano i contenuti restano;Pronto;archivio-reels.md
R035;Reel;2;5;L'empatia e la tua strategia di marketing;Pronto;archivio-reels.md
R036;Reel;2;6;Se provi a sembrare autentico hai smesso di esserlo;Pronto;archivio-reels.md
R037;Reel;2;6;Quando il counselor diventa influencer;Pronto;archivio-reels.md
R038;Reel;2;6;Il linguaggio dei sintomi;Pronto;archivio-reels.md
R039;Reel;2;6;La Gen Z sta lasciando Instagram;Pronto;archivio-reels.md
R040;Reel;2;6;Quando la spiritualita diventa un copione;Pronto;archivio-reels.md
R041;Reel;2;6;Come trovo ispirazione per scrivere ogni giorno;Pronto;archivio-reels.md
R042;Reel;2;6;La Fosbury del tuo settore;Pronto;archivio-reels.md
R043;Reel;2;7;I tuoi clienti migliori si vergognano di chiedere aiuto;Pronto;archivio-reels.md
R044;Reel;2;7;Tre domande per trovare idee ogni giorno;Pronto;archivio-reels.md
R045;Reel;2;7;Sei appena uscito dalla scuola di counseling;Pronto;archivio-reels.md
R046;Reel;2;7;Il delirio messianico nel coaching;Pronto;archivio-reels.md
R047;Reel;2;7;Non ti serve un sito web per iniziare;Pronto;archivio-reels.md
R048;Reel;2;7;Riproponi i tuoi contenuti migliori;Pronto;archivio-reels.md
R049;Reel;2;7;Hai un'opinione usala;Pronto;archivio-reels.md
R050;Reel;2;8;L'auto-censura e il tuo peggior nemico;Pronto;archivio-reels.md
R051;Reel;2;8;Fare leva sul dolore ti si ritorce contro;Pronto;archivio-reels.md
R052;Reel;2;8;Il mercato della spiritualita ha un problema;Pronto;archivio-reels.md
R053;Reel;2;8;Il tuo problema sono le frasi fatte;Pronto;archivio-reels.md
R054;Reel;2;8;La pazienza vale piu del talento;Pronto;archivio-reels.md
R055;Reel;2;8;Il tuo punto di vista e il tuo posizionamento;Pronto;archivio-reels.md
R056;Reel;2;8;Scrivi per una persona che ti supporta;Pronto;archivio-reels.md
R057;Reel;2;9;Dare troppo o dare troppo poco;Pronto;archivio-reels.md
R058;Reel;2;9;Comunicare nella frequenza del tuo pubblico;Pronto;archivio-reels.md
R059;Reel;2;9;Crea contenuti divertendoti;Pronto;archivio-reels.md
R060;Reel;2;9;La maledizione della conoscenza;Pronto;archivio-reels.md
C001;Carosello;1;1;5 segnali che il tuo sito potrebbe essere di chiunque;Pronto;archivio-caroselli.md
C002;Carosello;1;1;Counselor che comunica come venditore di corsi;Pronto;archivio-caroselli.md
C003;Carosello;1;2;Come uso l'AI senza perdere la mia voce;Pronto;archivio-caroselli.md
C004;Carosello;1;2;7 cose che ho imparato seguendo 50+ olistici;Pronto;archivio-caroselli.md
C005;Carosello;1;3;Perche i tuoi contenuti passano inosservati;Pronto;archivio-caroselli.md
C006;Carosello;1;3;Il contenuto gratuito che attira clienti veri;Pronto;archivio-caroselli.md
C007;Carosello;1;4;La Persona di Jung e il tuo profilo Instagram;Pronto;archivio-caroselli.md
C008;Carosello;1;4;Scrivere per farsi trovare dall'AI;Pronto;archivio-caroselli.md
